,year,departamento,S,V,I,I2,total_animales,v,A
48,2022.0,BOGOTA,6725.6,2570.4,26031.0222,2.9778000000000002,35330.0,99.24286519802679,9296.0
49,2011.0,BOLIVAR,174437.2,91097.0,968994.7320000002,178.668,1234707.6,83.74656407144893,265534.2
50,2012.0,BOLIVAR,173759.2,91775.0,966769.3228000001,2404.0772,1234707.6,98.59692096131326,265534.2
51,2013.0,BOLIVAR,168565.2,96969.0,968545.0842000002,628.3158,1234707.6,98.19148397549492,265534.2
52,2014.0,BOLIVAR,163427.2,102107.0,969021.5322000001,151.86780000000002,1234707.6,98.29890059110076,265534.2
53,2015.0,BOLIVAR,157797.2,107737.0,968868.6718000001,304.7282,1234707.6,98.37468155628807,265534.2
54,2016.0,BOLIVAR,69171.0,112336.0,743825.8436,113.1564,925446.0,98.13575609329955,183641.0
55,2021.0,BOLIVAR,249991.0,59399.0,1054304.0222,2.9778000000000002,1363697.0,96.472365236881,311562.0
56,2018.0,BOLIVAR,141775.42857142858,94488.57142857143,935660.4583999999,540.5416,1172465.0,95.97381035511808,236264.0
57,2019.0,BOLIVAR,166728.42857142858,94488.57142857143,960676.4583999999,540.5416,1222434.0,95.97381035511808,261217.0
58,2022.0,BOLIVAR,240498.42857142858,94488.57142857143,1153968.4584,540.5416,1489496.0,95.97381035511808,334987.0
59,2011.0,BOYACA,178792.0,55087.0,868919.6963999999,978.7036,1103777.4,81.56082971824522,233879.0
60,2012.0,BOYACA,172162.0,61717.0,866687.3389999999,3211.061,1103777.4,92.08194079732633,233879.0
61,2013.0,BOYACA,178172.0,55707.0,868587.1754,1311.2246,1103777.4,99.1069045882332,233879.0
62,2014.0,BOYACA,176656.0,57223.0,869445.7743999999,452.6256,1103777.4,91.3652983346905,233879.0
63,2015.0,BOYACA,169428.0,64451.0,869521.2119999999,377.188,1103777.4,94.65004258818692,233879.0
64,2016.0,BOYACA,101980.0,52094.0,594158.4928,468.5072,748701.0,93.69087442897738,157582.0
